text,symptoms
Symptoms of truncus arteriosus usually occur in the first few days of life. They include:  Blue or gray skin due to low oxygen levels. Excessive sleepiness. Poor feeding. Poor growth. Pounding heartbeat. Fast breathing. Shortness of breath.,"['symptoms truncus arteriosus occur first days life', ' include:  blue gray skin due low oxygen levels', ' excessive sleepiness', ' poor feeding', ' poor growth', ' pounding heartbeat', ' fast breathing', ' shortness breath', ' ']"
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze","['skin rash', 'high fever', 'blister', 'red sore around nose', 'yellow crust ooze']"
"skin_rash,high_fever,blister,yellow_crust_ooze","['skin rash', 'high fever', 'blister', 'yellow crust ooze']"
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body","['skin rash', 'chills', 'joint pain', 'vomiting', 'fatigue', 'high fever', 'headache', 'nausea', 'loss of appetite', 'pain behind the eyes', 'back pain', 'malaise', 'muscle pain', 'red spots over body']"
"I've been having back pain, a persistent cough, and weakness in my limbs. I also have problems with vertigo and losing my balance, and my neck hurts.","[""i've back pain"", ' persistent cough', ' weakness limbs', ' problems vertigo losing balance', ' neck hurts']"
"vomiting,sunken_eyes,dehydration,diarrhoea","['vomiting', 'sunken eyes', 'dehydration', 'diarrhoea']"
"continuous_sneezing,chills,fatigue,cough,high_fever,headache,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain","['continuous sneezing', 'chills', 'fatigue', 'cough', 'high fever', 'headache', 'malaise', 'phlegm', 'throat irritation', 'redness of eyes', 'sinus pressure', 'runny nose', 'congestion', 'chest pain', 'loss of smell', 'muscle pain']"
I have trouble focusing and remembering things. I feel like I have brain fog.,"['trouble focusing remembering things', ' feel like brain fog']"
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload","['vomiting', 'yellowish skin', 'abdominal pain', 'swelling of stomach', 'distention of abdomen', 'history of alcohol consumption', 'fluid overload']"
"itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body","['itching', 'skin rash', 'fatigue', 'lethargy', 'headache', 'loss of appetite', 'mild fever', 'swelled lymph nodes', 'malaise', 'red spots over body']"
"Damage to the protective myelin covering the nerves results in progressive worsening of brain and nervous system functions, including:  Loss of the ability to detect sensations, such as touch, pain, heat and sound Loss of intellectual, thinking and memory skills Loss of motor skills, such as walking, moving, speaking and swallowing Stiff, rigid muscles, poor muscle function and paralysis Loss of bladder and bowel function Gallbladder problems Blindness Hearing loss Seizures Emotional and behavioral problems, including unstable emotions and substance misuse  Each form of metachromatic leukodystrophy occurs at a different age and can have different initial signs and symptoms and rates of progression:  Late infantile form. This is the most common form of metachromatic leukodystrophy, starting around 2 years of age or younger. Progressive loss of speech and muscle function occurs rapidly. Children with this form often do not survive beyond childhood. Juvenile form. This is the second most common form and starts in children between 3 and 16 years of age. Early signs are behavior and cognitive problems and increasing difficulty in school. Loss of the ability to walk may occur. Although the juvenile form doesn't progress as fast as the late infantile form, survival is generally less than 20 years after symptoms begin. Adult form. This form is less common and typically starts after age 16. Signs progress slowly and may begin with behavior and psychiatric problems, drug and alcohol misuse, and issues with school and work. Psychotic symptoms such as delusions and hallucinations may occur. The course of this form varies, with periods of stable symptoms and periods of rapid decline in functioning. Adults may survive for several decades after initial symptoms.","['damage protective myelin covering nerves results progressive worsening brain nervous system functions', ' including:  loss ability detect sensations', ' touch', ' pain', ' heat sound loss intellectual', ' thinking memory skills loss motor skills', ' walking', ' moving', ' speaking swallowing stiff', ' rigid muscles', ' poor muscle function paralysis loss bladder bowel function gallbladder problems blindness hearing loss seizures emotional behavioral problems', ' including unstable emotions substance misuse  form metachromatic leukodystrophy occurs age can initial signs symptoms rates progression:  late infantile form', ' common form metachromatic leukodystrophy', ' starting 2 years age younger', ' progressive loss speech muscle function occurs rapidly', ' children form survive childhood', ' juvenile form', ' second common form starts children 3 16 years age', ' early signs behavior cognitive problems increasing difficulty school', ' loss ability walk may occur', "" juvenile form doesn't progress fast late infantile form"", ' survival generally 20 years symptoms begin', ' adult form', ' form common typically starts age 16', ' signs progress slowly may begin behavior psychiatric problems', ' drug alcohol misuse', ' issues school work', ' psychotic symptoms delusions hallucinations may occur', ' course form varies', ' periods stable symptoms periods rapid decline functioning', ' adults may survive decades initial symptoms', ' ']"
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze","['skin rash', 'high fever', 'blister', 'red sore around nose', 'yellow crust ooze']"
"shivering,chills,watering_from_eyes","['shivering', 'chills', 'watering from eyes']"
"I've been experiencing neck pain, balance issues, and dizziness.","[""i've experiencing neck pain"", ' balance issues', ' dizziness']"
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus","['constipation', 'pain during bowel movements', 'pain in anal region', 'bloody stool', 'irritation in anus']"
"I have red spots all over my body, and they are itchy. Some of the spots are a different color than my skin. I also have some lumps or pimples on my skin.","['red spots body', ' itchy', ' spots color skin', ' lumps pimples skin']"
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations","['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurred and distorted vision', 'excessive hunger', 'drying and tingling lips', 'slurred speech', 'irritability', 'palpitations']"
"itching,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections","['itching', 'fatigue', 'lethargy', 'yellowish skin', 'loss of appetite', 'abdominal pain', 'yellow urine', 'yellowing of eyes', 'malaise', 'receiving blood transfusion', 'receiving unsterile injections']"
Signs and symptoms associated with galactorrhea include:  Persistent or intermittent milky nipple discharge Nipple discharge involving multiple milk ducts Spontaneously leaked or manually expressed nipple discharge One or both breasts affected Absent or irregular menstrual periods Headaches or vision problems,['signs symptoms associated galactorrhea include:  persistent intermittent milky nipple discharge nipple discharge involving multiple milk ducts spontaneously leaked manually expressed nipple discharge breasts affected absent irregular menstrual periods headaches vision problems ']
"vomiting,breathlessness,sweating,chest_pain","['vomiting', 'breathlessness', 'sweating', 'chest pain']"
"itching,skin_rash,nodal_skin_eruptions,dischromic__patches","['itching', 'skin rash', 'nodal skin eruptions', 'dischromic  patches']"
"fatigue,weight_gain,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation","['fatigue', 'weight gain', 'mood swings', 'lethargy', 'dizziness', 'puffy face and eyes', 'enlarged thyroid', 'brittle nails', 'swollen extremeties', 'depression', 'irritability', 'abnormal menstruation']"
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body","['skin rash', 'chills', 'joint pain', 'vomiting', 'fatigue', 'high fever', 'headache', 'nausea', 'loss of appetite', 'pain behind the eyes', 'back pain', 'malaise', 'muscle pain', 'red spots over body']"
"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding","['joint pain', 'vomiting', 'fatigue', 'yellowish skin', 'dark urine', 'nausea', 'loss of appetite', 'abdominal pain', 'yellowing of eyes', 'acute liver failure', 'coma', 'stomach bleeding']"
"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration","['headache', 'chest pain', 'dizziness', 'loss of balance', 'lack of concentration']"
"I've been having a hard time breathing. I've been coughing a lot and I'm coughing up a lot of thick, sticky mucus. I've also been feeling really tired and weak.","[""i've hard time breathing"", "" i've coughing i'm coughing thick"", ' sticky mucus', "" i've feeling tired weak""]"
I have a terrible pain in my stomach and I feel really sick. I'm also running a fever. I'm worried that I might have typhoid.,"['terrible pain stomach feel sick', "" i'm running fever"", "" i'm worried typhoid""]"
"vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","['vomiting', 'loss of appetite', 'abdominal pain', 'passage of gases', 'internal itching']"
"headache,weakness_of_one_body_side,altered_sensorium","['headache', 'weakness of one body side', 'altered sensorium']"
"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain","['chills', 'vomiting', 'fatigue', 'high fever', 'headache', 'nausea', 'constipation', 'abdominal pain', 'diarrhoea', 'toxic look (typhos)', 'belly pain']"
"fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections","['fatigue', 'lethargy', 'yellowish skin', 'dark urine', 'loss of appetite', 'abdominal pain', 'yellow urine', 'yellowing of eyes', 'malaise', 'receiving blood transfusion', 'receiving unsterile injections']"
"patches_in_throat,high_fever,extra_marital_contacts","['patches in throat', 'high fever', 'extra marital contacts']"
"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails","['skin rash', 'joint pain', 'skin peeling', 'silver like dusting', 'small dents in nails', 'inflammatory nails']"
"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination","['itching', 'skin rash', 'stomach pain', 'burning micturition', 'spotting  urination']"
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances","['acidity', 'indigestion', 'headache', 'blurred and distorted vision', 'excessive hunger', 'stiff neck', 'depression', 'irritability', 'visual disturbances']"
"Mittelschmerz pain usually lasts a few minutes to a few hours, but it may continue for as long as a day or two. Pain from mittelschmerz may be:  On one side of your lower abdomen Dull and achy, similar to menstrual cramps Sharp and sudden Accompanied by slight vaginal bleeding or discharge Rarely, severe  Mittelschmerz pain occurs on the side of the ovary that's releasing an egg (ovulating). The pain may switch sides every other month, or you may feel pain on the same side for several months. Keep track of your menstrual cycle for several months and note when you feel lower abdominal pain. If it occurs midcycle and goes away without treatment, it's most likely mittelschmerz.","['mittelschmerz pain lasts minutes hours', ' may continue long day two', ' pain mittelschmerz may be:  side lower abdomen dull achy', ' similar menstrual cramps sharp sudden accompanied slight vaginal bleeding discharge rarely', "" severe  mittelschmerz pain occurs side ovary that's releasing egg (ovulating)"", ' pain may switch sides month', ' may feel pain side months', ' keep track menstrual cycle months note feel lower abdominal pain', ' occurs midcycle goes away treatment', "" it's likely mittelschmerz""]"
"Kidney cancer usually doesn't have signs or symptoms in its early stages. In time, signs and symptoms may develop, including:  Blood in your urine, which may appear pink, red or cola colored Pain in your back or side that doesn't go away Loss of appetite Unexplained weight loss Tiredness Fever","[""kidney cancer doesn't signs symptoms early stages"", ' time', ' signs symptoms may develop', ' including:  blood urine', ' may pink', "" red cola colored pain back side doesn't away loss appetite unexplained weight loss tiredness fever ""]"
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain","['stomach pain', 'acidity', 'ulcers on tongue', 'vomiting', 'cough', 'chest pain']"
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation","['fatigue', 'mood swings', 'weight loss', 'restlessness', 'sweating', 'diarrhoea', 'excessive hunger', 'muscle weakness', 'irritability', 'abnormal menstruation']"
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain","['joint pain', 'vomiting', 'yellowish skin', 'dark urine', 'nausea', 'loss of appetite', 'abdominal pain', 'diarrhoea', 'mild fever', 'yellowing of eyes', 'muscle pain']"
"I've been having back pain, a dry cough, and weakness in my arms and legs. I've also been feeling dizzy and unsteady on my feet, and my neck hurts.","[""i've back pain"", ' dry cough', ' weakness arms legs', "" i've feeling dizzy unsteady feet"", ' neck hurts']"
"I've been feeling really sick lately. I have a fever, swollen lymph nodes, and a headache. I don't feel like eating anything, and I'm really weak and tired. It's hard for me to concentrate on my daily life.","[""i've feeling sick lately"", ' fever', ' swollen lymph nodes', ' headache', "" don't feel like eating anything"", "" i'm weak tired"", "" it's hard concentrate daily life""]"
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body","['skin rash', 'chills', 'joint pain', 'vomiting', 'fatigue', 'high fever', 'headache', 'nausea', 'loss of appetite', 'pain behind the eyes', 'back pain', 'malaise', 'muscle pain', 'red spots over body']"
"burning_micturition,bladder_discomfort,continuous_feel_of_urine","['burning micturition', 'bladder discomfort', 'continuous feel of urine']"
"skin_rash,pus_filled_pimples,blackheads,scurring","['skin rash', 'pus filled pimples', 'blackheads', 'scurring']"
"Most healthy people who are infected with CMV may experience no symptoms. Some experience minor symptoms. People who are more likely to experience signs and symptoms of CMV include: CMV CMV  Newborns who became infected with CMV before they were born (congenital CMV). Infants who become infected during birth or shortly afterward (perinatal CMV). This group includes babies infected through breast milk. People who have weakened immune systems, such as those who have had an organ, bone marrow or stem cell transplant, or those who are infected with HIV.  Babies Most babies who have congenital CMV appear healthy at birth. CMV A few babies who have congenital CMV who appear healthy at birth develop signs over time — sometimes not for months or years after birth. The most common of these late-occurring signs are hearing loss and developmental delay. A small number of babies may also develop vision problems. CMV The following signs and symptoms are more common in babies who have congenital CMV and who are sick at birth: CMV  Premature birth Low birth weight Yellow skin and eyes (jaundice) Enlarged and poorly functioning liver Purple skin splotches or a rash or both Abnormally small head (microencephaly) Enlarged spleen Pneumonia Seizures  People who have weakened immunity If your immune system is weakened, you might experience serious problems that affect your:  Eyes Lungs Liver Esophagus Stomach Intestines Brain  Healthy adults Most people who are infected with CMV who are otherwise healthy experience few if any symptoms. When first infected, some adults may have symptoms similar to infectious mononucleosis, including: CMV  Fatigue Fever Sore throat Muscle aches","['healthy people who infected cmv may experience symptoms', ' experience minor symptoms', ' people who likely experience signs symptoms cmv include: cmv cmv  newborns who infected cmv born (congenital cmv)', ' infants who infected birth shortly (perinatal cmv)', ' group includes babies infected breast milk', ' people who weakened immune systems', ' who organ', ' bone marrow stem cell transplant', ' who infected hiv', '  babies babies who congenital cmv healthy birth', ' cmv babies who congenital cmv who healthy birth develop signs time — months years birth', ' common late-occurring signs hearing loss developmental delay', ' small number babies may develop vision problems', ' cmv following signs symptoms common babies who congenital cmv who sick birth: cmv  premature birth low birth weight yellow skin eyes (jaundice) enlarged poorly functioning liver purple skin splotches rash abnormally small head (microencephaly) enlarged spleen pneumonia seizures  people who weakened immunity immune system weakened', ' experience problems affect your:  eyes lungs liver esophagus stomach intestines brain  healthy adults people who infected cmv who healthy experience symptoms', ' first infected', ' adults may symptoms similar infectious mononucleosis', ' including: cmv  fatigue fever sore throat muscle aches ']"
"chills,fatigue,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum","['chills', 'fatigue', 'high fever', 'breathlessness', 'sweating', 'malaise', 'phlegm', 'chest pain', 'fast heart rate', 'rusty sputum']"
"back_pain,neck_pain,dizziness,loss_of_balance","['back pain', 'neck pain', 'dizziness', 'loss of balance']"
"skin_rash,pus_filled_pimples,blackheads,scurring","['skin rash', 'pus filled pimples', 'blackheads', 'scurring']"
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain","['joint pain', 'vomiting', 'yellowish skin', 'dark urine', 'nausea', 'loss of appetite', 'abdominal pain', 'diarrhoea', 'mild fever', 'yellowing of eyes', 'muscle pain']"
"vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","['vomiting', 'loss of appetite', 'abdominal pain', 'passage of gases', 'internal itching']"
"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria","['fatigue', 'weight loss', 'restlessness', 'lethargy', 'irregular sugar level', 'blurred and distorted vision', 'obesity', 'excessive hunger', 'increased appetite', 'polyuria']"
"There are different types of Gaucher disease, and signs and symptoms of disease vary widely, even within the same type. Type 1 is by far the most common. Siblings, even identical twins, with the disease can have different levels of severity. Some people who have Gaucher disease have only mild or no symptoms. Most people who have Gaucher disease have varying degrees of the following problems:  Abdominal complaints. Because the liver and especially the spleen can enlarge dramatically, the abdomen can become painfully distended. Skeletal abnormalities. Gaucher disease can weaken bone, increasing the risk of painful fractures. It can also interfere with the blood supply to your bones, which can cause portions of the bone to die. Blood disorders. A decrease in healthy red blood cells (anemia) can result in severe fatigue. Gaucher disease also affects the cells responsible for clotting, which can cause easy bruising and nosebleeds.  More rarely, Gaucher disease affects the brain, which can cause abnormal eye movements, muscle rigidity, swallowing difficulties and seizures. One rare subtype of Gaucher disease begins in infancy and typically results in death by 2 years of age.","['types gaucher disease', ' signs symptoms disease vary widely', ' type', ' type 1 far common', ' siblings', ' identical twins', ' disease can levels severity', ' people who gaucher disease only mild symptoms', ' people who gaucher disease varying degrees following problems:  abdominal complaints', ' liver especially spleen can enlarge dramatically', ' abdomen can painfully distended', ' skeletal abnormalities', ' gaucher disease can weaken bone', ' increasing risk painful fractures', ' can interfere blood supply bones', ' can cause portions bone die', ' blood disorders', ' decrease healthy red blood cells (anemia) can result severe fatigue', ' gaucher disease affects cells responsible clotting', ' can cause easy bruising nosebleeds', '  rarely', ' gaucher disease affects brain', ' can cause abnormal eye movements', ' muscle rigidity', ' swallowing difficulties seizures', ' rare subtype gaucher disease begins infancy typically results death 2 years age']"
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus","['constipation', 'pain during bowel movements', 'pain in anal region', 'bloody stool', 'irritation in anus']"
"Spinal cord tumors can cause different signs and symptoms, especially as tumors grow. The tumors may affect your spinal cord or the nerve roots, blood vessels or bones of your spine. Signs and symptoms may include:  Pain at the site of the tumor due to tumor growth Back pain, often radiating to other parts of your body Feeling less sensitive to pain, heat and cold Loss of bowel or bladder function Difficulty walking, sometimes leading to falls Back pain that's worse at night Loss of sensation or muscle weakness, especially in your arms or legs Muscle weakness , which may be mild or severe, in different parts of your body  Back pain is a common early symptom of spinal tumors. Pain may also spread beyond your back to your hips, legs, feet or arms and may worsen over time — even with treatment. Spinal tumors progress at different rates depending on the type of tumor.","['spinal cord tumors can cause signs symptoms', ' especially tumors grow', ' tumors may affect spinal cord nerve roots', ' blood vessels bones spine', ' signs symptoms may include:  pain site tumor due tumor growth back pain', ' radiating parts body feeling sensitive pain', ' heat cold loss bowel bladder function difficulty walking', "" leading falls back pain that's worse night loss sensation muscle weakness"", ' especially arms legs muscle weakness ', ' may mild severe', ' parts body  back pain common early symptom spinal tumors', ' pain may spread back hips', ' legs', ' feet arms may worsen time — treatment', ' spinal tumors progress rates depending type tumor']"
"vomiting,breathlessness,sweating,chest_pain","['vomiting', 'breathlessness', 'sweating', 'chest pain']"
I've been feeling really itchy and sick to my stomach. I've lost a lot of weight and I'm exhausted. My skin is yellow and I have a fever. My urine is dark and I've been having stomach pain.,"[""i've feeling itchy sick stomach"", "" i've lost weight i'm exhausted"", ' skin yellow fever', "" urine dark i've stomach pain""]"
"In the U.S., because of newborn screening, cystic fibrosis can be diagnosed within the first month of life, before symptoms develop. But people born before newborn screening became available may not be diagnosed until the signs and symptoms of CF show up. CF Cystic fibrosis signs and symptoms vary, depending on the severity of the disease. Even in the same person, symptoms may worsen or improve as time passes. Some people may not experience symptoms until their teenage years or adulthood. People who are not diagnosed until adulthood usually have milder disease and are more likely to have atypical symptoms, such as recurring bouts of an inflamed pancreas (pancreatitis), infertility and recurring pneumonia. People with cystic fibrosis have a higher than normal level of salt in their sweat. Parents often can taste the salt when they kiss their children. Most of the other signs and symptoms of CF affect the respiratory system and digestive system. CF Respiratory signs and symptoms The thick and sticky mucus associated with cystic fibrosis clogs the tubes that carry air in and out of your lungs. This can cause signs and symptoms such as:  A persistent cough that produces thick mucus (sputum) Wheezing Exercise intolerance Repeated lung infections Inflamed nasal passages or a stuffy nose Recurrent sinusitis  Digestive signs and symptoms The thick mucus can also block tubes that carry digestive enzymes from your pancreas to your small intestine. Without these digestive enzymes, your intestines aren't able to completely absorb the nutrients in the food you eat. The result is often:  Foul-smelling, greasy stools Poor weight gain and growth Intestinal blockage, particularly in newborns (meconium ileus) Chronic or severe constipation, which may include frequent straining while trying to pass stool, eventually causing part of the rectum to protrude outside the anus (rectal prolapse)","['u', 's', ' newborn screening', ' cystic fibrosis can diagnosed first month life', ' symptoms develop', ' people born newborn screening may diagnosed signs symptoms cf show up', ' cf cystic fibrosis signs symptoms vary', ' depending severity disease', ' person', ' symptoms may worsen improve time passes', ' people may experience symptoms teenage years adulthood', ' people who diagnosed adulthood milder disease likely atypical symptoms', ' recurring bouts inflamed pancreas (pancreatitis)', ' infertility recurring pneumonia', ' people cystic fibrosis higher normal level salt sweat', ' parents can taste salt kiss children', ' signs symptoms cf affect respiratory system digestive system', ' cf respiratory signs symptoms thick sticky mucus associated cystic fibrosis clogs tubes carry air lungs', ' can cause signs symptoms as:  persistent cough produces thick mucus (sputum) wheezing exercise intolerance repeated lung infections inflamed nasal passages stuffy nose recurrent sinusitis  digestive signs symptoms thick mucus can block tubes carry digestive enzymes pancreas small intestine', ' digestive enzymes', "" intestines aren't able completely absorb nutrients food eat"", ' result often:  foul-smelling', ' greasy stools poor weight gain growth intestinal blockage', ' newborns (meconium ileus) chronic severe constipation', ' may include frequent straining trying pass stool', ' eventually causing part rectum protrude anus (rectal prolapse) ']"
"vomiting,sunken_eyes,dehydration,diarrhoea","['vomiting', 'sunken eyes', 'dehydration', 'diarrhoea']"
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts","['muscle wasting', 'patches in throat', 'high fever', 'extra marital contacts']"
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus","['constipation', 'pain during bowel movements', 'pain in anal region', 'bloody stool', 'irritation in anus']"
"Signs and symptoms caused by brain metastases can vary based on the location, size and rate of growth of the metastatic tumors. Signs and symptoms of brain metastases include:  Headache, sometimes with vomiting or nausea Mental changes, such as increasing memory problems Seizures Weakness or numbness on one side of the body","['signs symptoms caused brain metastases can vary based location', ' size rate growth metastatic tumors', ' signs symptoms brain metastases include:  headache', ' vomiting nausea mental changes', ' increasing memory problems seizures weakness numbness side body ']"
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze","['skin rash', 'high fever', 'blister', 'red sore around nose', 'yellow crust ooze']"
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation","['fatigue', 'mood swings', 'weight loss', 'restlessness', 'sweating', 'diarrhoea', 'fast heart rate', 'excessive hunger', 'muscle weakness', 'irritability', 'abnormal menstruation']"
"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance","['back pain', 'weakness in limbs', 'neck pain', 'dizziness', 'loss of balance']"
"fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf","['fatigue', 'cramps', 'bruising', 'obesity', 'swollen legs', 'swollen blood vessels', 'prominent veins on calf']"
"Common symptoms of esophagitis include:  Difficulty swallowing. Painful swallowing. Swallowed food becoming stuck in the esophagus, also known as food impaction. Chest pain, particularly behind the breastbone, that occurs with eating. Heartburn. Acid regurgitation.  In infants and young children, particularly those too young to explain their discomfort or pain, symptoms of esophagitis may include:   Feeding difficulties, such as irritability, arching of the back and not wanting to eat. Failure to thrive. Chest or belly pain in older children.","['common symptoms esophagitis include:  difficulty swallowing', ' painful swallowing', ' swallowed food stuck esophagus', ' known food impaction', ' chest pain', ' breastbone', ' occurs eating', ' heartburn', ' acid regurgitation', '  infants young children', ' young explain discomfort pain', ' symptoms esophagitis may include:   feeding difficulties', ' irritability', ' arching back wanting eat', ' failure thrive', ' chest belly pain older children', ' ']"
"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness","['vomiting', 'headache', 'nausea', 'spinning movements', 'loss of balance', 'unsteadiness']"
"continuous_sneezing,chills,fatigue,cough,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain","['continuous sneezing', 'chills', 'fatigue', 'cough', 'headache', 'swelled lymph nodes', 'malaise', 'phlegm', 'throat irritation', 'redness of eyes', 'sinus pressure', 'runny nose', 'congestion', 'chest pain', 'loss of smell', 'muscle pain']"
"Some people with ADHD have fewer symptoms as they age, but some adults continue to have major symptoms that interfere with daily functioning. In adults, the main features of ADHD may include difficulty paying attention, impulsiveness and restlessness. Symptoms can range from mild to severe. ADHD ADHD Many adults with ADHD aren't aware they have it — they just know that everyday tasks can be a challenge. Adults with ADHD may find it difficult to focus and prioritize, leading to missed deadlines and forgotten meetings or social plans. The inability to control impulses can range from impatience waiting in line or driving in traffic to mood swings and outbursts of anger. ADHD ADHD Adult ADHD symptoms may include: ADHD  Impulsiveness Disorganization and problems prioritizing Poor time management skills Problems focusing on a task Trouble multitasking Excessive activity or restlessness Poor planning Low frustration tolerance Frequent mood swings Problems following through and completing tasks Hot temper Trouble coping with stress  What's typical behavior and what's ADHD? Almost everyone has some symptoms similar to ADHD at some point in their lives. If your difficulties are recent or occurred only occasionally in the past, you probably don't have ADHD. ADHD is diagnosed only when symptoms are severe enough to cause ongoing problems in more than one area of your life. These persistent and disruptive symptoms can be traced back to early childhood. ADHD ADHD ADHD Diagnosis of ADHD in adults can be difficult because certain ADHD symptoms are similar to those caused by other conditions, such as anxiety or mood disorders. And many adults with ADHD also have at least one other mental health condition, such as depression or anxiety.","['people adhd symptoms age', ' adults continue major symptoms interfere daily functioning', ' adults', ' features adhd may include difficulty paying attention', ' impulsiveness restlessness', ' symptoms can range mild severe', "" adhd adhd adults adhd aren't aware — just know everyday tasks can challenge"", ' adults adhd may find difficult focus prioritize', ' leading missed deadlines forgotten meetings social plans', ' inability control impulses can range impatience waiting line driving traffic mood swings outbursts anger', "" adhd adhd adult adhd symptoms may include: adhd  impulsiveness disorganization problems prioritizing poor time management skills problems focusing task trouble multitasking excessive activity restlessness poor planning low frustration tolerance frequent mood swings problems following completing tasks hot temper trouble coping stress  what's typical behavior what's adhd? symptoms similar adhd point lives"", ' difficulties recent occurred only occasionally past', "" don't adhd"", ' adhd diagnosed only symptoms severe cause ongoing problems area life', ' persistent disruptive symptoms can traced back early childhood', ' adhd adhd adhd diagnosis adhd adults can difficult adhd symptoms similar caused conditions', ' anxiety mood disorders', ' adults adhd least mental health condition', ' depression anxiety']"
"I have a burning sensation in my chest and throat, and I often feel like I have to clear my throat. I also have bad breath and a bad taste in my mouth.","['burning sensation chest throat', ' feel like clear throat', ' bad breath bad taste mouth']"
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain","['joint pain', 'vomiting', 'yellowish skin', 'dark urine', 'nausea', 'loss of appetite', 'abdominal pain', 'diarrhoea', 'mild fever', 'yellowing of eyes', 'muscle pain']"
"I'm not interested in sex anymore, and it's hard for me to get aroused. I also have brain fog and feel confused a lot.","[""i'm interested sex anymore"", "" it's hard aroused"", ' brain fog feel confused lot']"
"chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain","['chills', 'vomiting', 'high fever', 'headache', 'nausea', 'diarrhoea', 'muscle pain']"
"itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain","['itching', 'vomiting', 'weight loss', 'high fever', 'yellowish skin', 'dark urine', 'abdominal pain']"
